structpayload_utctimestamp,structpayload_unique_visitor_session_id,structpayload_sessionId,structpayload_objectType,structpayload_objectId,structpayload_sourceType,structpayload_eventname,structPayload_metadata_page_title,structPayload_metadata_page_host,structPayload_metadata_page_hostname,structPayload_metadata_page_port,structPayload_metadata_page_protocol,structPayload_metadata_page_origin,structPayload_metadata_page_pathname,structPayload_metadata_page_hash,structPayload_metadata_page_search,structPayload_metadata_page_href
2018-06-06T19:31:40.727470Z,ujECnPyDCcCDMyBtnQMe9W,0004CWgluedhF8uTkfh8Ki,goal,7000001,Reactful,visited_with,,,,,,,,,,
2018-06-06T19:32:19.453580Z,ujECnPyDCcCDMyBtnQMe9W,0004CWgluedhF8uTkfh8Ki,country,US,Website,visited_with,,,,,,,,,,
2018-06-06T19:32:19.237480Z,ujECnPyDCcCDMyBtnQMe9W,0004CWgluedhF8uTkfh8Ki,referer,www.google.com,Website,visited_with,,,,,,,,,,
2018-06-06T19:32:19.453580Z,ujECnPyDCcCDMyBtnQMe9W,0004CWgluedhF8uTkfh8Ki,region,US-OK,Website,visited_with,,,,,,,,,,
2018-06-06T19:32:19.453580Z,ujECnPyDCcCDMyBtnQMe9W,0004CWgluedhF8uTkfh8Ki,goal,1000001,Reactful,visited,,,,,,,,,,
2018-06-06T19:31:40.727470Z,ujECnPyDCcCDMyBtnQMe9W,0004CWgluedhF8uTkfh8Ki,type,new,Website,visited_with,,,,,,,,,,
2018-06-06T19:32:19.453580Z,ujECnPyDCcCDMyBtnQMe9W,0004CWgluedhF8uTkfh8Ki,referer,www.google.com,Website,visited_with,,,,,,,,,,
2018-06-06T19:32:19.453580Z,ujECnPyDCcCDMyBtnQMe9W,0004CWgluedhF8uTkfh8Ki,goal,1,Reactful,visited_with,,,,,,,,,,
2018-06-06T19:31:40.727470Z,ujECnPyDCcCDMyBtnQMe9W,0004CWgluedhF8uTkfh8Ki,device,desktop,Website,visited_with,,,,,,,,,,
2018-06-06T19:31:40.727470Z,ujECnPyDCcCDMyBtnQMe9W,0004CWgluedhF8uTkfh8Ki,session,,Reactful,created_new,,,,,,,,,,
2018-06-06T19:32:19.453580Z,ujECnPyDCcCDMyBtnQMe9W,0004CWgluedhF8uTkfh8Ki,goal,4000001,Reactful,visited_with,,,,,,,,,,
2018-06-06T19:32:19.453580Z,ujECnPyDCcCDMyBtnQMe9W,0004CWgluedhF8uTkfh8Ki,goal,9000001,Reactful,visited_with,,,,,,,,,,
2018-06-06T19:31:40.727470Z,ujECnPyDCcCDMyBtnQMe9W,0004CWgluedhF8uTkfh8Ki,region,US-OK,Website,visited_with,,,,,,,,,,
2018-06-06T19:32:19.237480Z,ujECnPyDCcCDMyBtnQMe9W,0004CWgluedhF8uTkfh8Ki,country,US,Website,visited_with,,,,,,,,,,
2018-06-06T19:32:19.453580Z,ujECnPyDCcCDMyBtnQMe9W,0004CWgluedhF8uTkfh8Ki,goal,9010001,Reactful,visited_with,,,,,,,,,,
2018-06-06T19:32:19.237480Z,ujECnPyDCcCDMyBtnQMe9W,0004CWgluedhF8uTkfh8Ki,goal,7000001,Reactful,visited_with,,,,,,,,,,
2018-06-06T19:32:19.237480Z,ujECnPyDCcCDMyBtnQMe9W,0004CWgluedhF8uTkfh8Ki,goal,1000001,Reactful,visited,,,,,,,,,,
2018-06-06T19:32:19.237480Z,ujECnPyDCcCDMyBtnQMe9W,0004CWgluedhF8uTkfh8Ki,region,US-OK,Website,visited_with,,,,,,,,,,
2018-06-06T19:32:19.237480Z,ujECnPyDCcCDMyBtnQMe9W,0004CWgluedhF8uTkfh8Ki,goal,4000001,Reactful,visited_with,,,,,,,,,,
2018-06-06T19:31:40.727470Z,ujECnPyDCcCDMyBtnQMe9W,0004CWgluedhF8uTkfh8Ki,referer,www.google.com,Website,visited_with,,,,,,,,,,
2018-06-06T19:32:19.453580Z,ujECnPyDCcCDMyBtnQMe9W,0004CWgluedhF8uTkfh8Ki,device,desktop,Website,visited_with,,,,,,,,,,
2018-06-06T19:32:19.453580Z,ujECnPyDCcCDMyBtnQMe9W,0004CWgluedhF8uTkfh8Ki,goal,7000001,Reactful,visited_with,,,,,,,,,,
2018-06-06T19:32:19.237480Z,ujECnPyDCcCDMyBtnQMe9W,0004CWgluedhF8uTkfh8Ki,type,new,Website,visited_with,,,,,,,,,,
2018-06-06T19:31:41.196780Z,ujECnPyDCcCDMyBtnQMe9W,0004CWgluedhF8uTkfh8Ki,page,/lp/gartner-leadership.html,Website,visited_with,Gartner Names Informatica Leader in All Our Markets | Informatica US,www.informatica.com,www.informatica.com,,https:,https://www.informatica.com,/lp/gartner-leadership.html,#fbid=rlUPo7h1RKE,?gclid=Cj0KCQjwjN7YBRCOARIsAFCb935KKZmtuq0kp1d9EzD_5XJVOxdVcYfWQ1-x_wIM25XpfaKg8Jru0OkaAr_IEALw_wcB&formid=3599&programName=17Q2-PPC1-GBL-NA-Gartner-Leader_Promo_Analyst_Reports-PT3323&cps=ppcGS&cext=search_google_17q2_gartner-leadership-report-3323_na_us_en&kw=informatica&s_kwcid=AL!5237!3!268772362957!e!!g!!informatica&ef_id=Wtn7pQAAB4tLS8ND:20180606193139:s,https://www.informatica.com/lp/gartner-leadership.html?gclid=Cj0KCQjwjN7YBRCOARIsAFCb935KKZmtuq0kp1d9EzD_5XJVOxdVcYfWQ1-x_wIM25XpfaKg8Jru0OkaAr_IEALw_wcB&formid=3599&programName=17Q2-PPC1-GBL-NA-Gartner-Leader_Promo_Analyst_Reports-PT3323&cps=ppcGS&cext=search_google_17q2_gartner-leadership-report-3323_na_us_en&kw=informatica&s_kwcid=AL!5237!3!268772362957!e!!g!!informatica&ef_id=Wtn7pQAAB4tLS8ND:20180606193139:s#fbid=rlUPo7h1RKE
2018-06-06T19:31:40.727470Z,ujECnPyDCcCDMyBtnQMe9W,0004CWgluedhF8uTkfh8Ki,goal,9010001,Reactful,visited_with,,,,,,,,,,
2018-06-06T19:32:19.237480Z,ujECnPyDCcCDMyBtnQMe9W,0004CWgluedhF8uTkfh8Ki,goal,9000001,Reactful,visited_with,,,,,,,,,,
2018-06-06T19:31:40.727470Z,ujECnPyDCcCDMyBtnQMe9W,0004CWgluedhF8uTkfh8Ki,goal,4000001,Reactful,visited_with,,,,,,,,,,
2018-06-06T19:31:40.727470Z,ujECnPyDCcCDMyBtnQMe9W,0004CWgluedhF8uTkfh8Ki,goal,1,Reactful,visited_with,,,,,,,,,,
2018-06-06T19:32:19.237480Z,ujECnPyDCcCDMyBtnQMe9W,0004CWgluedhF8uTkfh8Ki,device,desktop,Website,visited_with,,,,,,,,,,
2018-06-06T19:32:19.237480Z,ujECnPyDCcCDMyBtnQMe9W,0004CWgluedhF8uTkfh8Ki,goal,9010001,Reactful,visited_with,,,,,,,,,,
2018-06-06T19:31:40.727470Z,ujECnPyDCcCDMyBtnQMe9W,0004CWgluedhF8uTkfh8Ki,country,US,Website,visited_with,,,,,,,,,,
2018-06-06T19:32:19.575710Z,ujECnPyDCcCDMyBtnQMe9W,0004CWgluedhF8uTkfh8Ki,page,/solutions/industry-solutions/utilities.html,Website,visited_with,Digital Utilities – Data-Fueled Solutions | Informatica US,www.informatica.com,www.informatica.com,,https:,https://www.informatica.com,/solutions/industry-solutions/utilities.html,#fbid=rlUPo7h1RKE,,https://www.informatica.com/solutions/industry-solutions/utilities.html#fbid=rlUPo7h1RKE
2018-06-06T19:31:40.727470Z,ujECnPyDCcCDMyBtnQMe9W,0004CWgluedhF8uTkfh8Ki,goal,9000001,Reactful,visited_with,,,,,,,,,,
2018-06-06T19:32:19.237480Z,ujECnPyDCcCDMyBtnQMe9W,0004CWgluedhF8uTkfh8Ki,goal,1,Reactful,visited_with,,,,,,,,,,
2018-06-06T19:32:19.453580Z,ujECnPyDCcCDMyBtnQMe9W,0004CWgluedhF8uTkfh8Ki,type,new,Website,visited_with,,,,,,,,,,
2018-06-06T19:31:40.727470Z,ujECnPyDCcCDMyBtnQMe9W,0004CWgluedhF8uTkfh8Ki,goal,1000001,Reactful,visited,,,,,,,,,,
2018-06-12T14:15:30.204710Z,dn9jwhm3pDTYwKKnChqU4J,000LdfzEE526vZpgjDMN2l,session,,Reactful,created_new,,,,,,,,,,
2018-06-12T14:39:41.128630Z,dn9jwhm3pDTYwKKnChqU4J,000LdfzEE526vZpgjDMN2l,goal,9010001,Reactful,visited_with,,,,,,,,,,
2018-06-12T14:39:41.128630Z,dn9jwhm3pDTYwKKnChqU4J,000LdfzEE526vZpgjDMN2l,device,desktop,Website,visited_with,,,,,,,,,,
2018-06-12T14:39:41.128630Z,dn9jwhm3pDTYwKKnChqU4J,000LdfzEE526vZpgjDMN2l,country,MX,Website,visited_with,,,,,,,,,,
2018-06-12T14:39:41.128630Z,dn9jwhm3pDTYwKKnChqU4J,000LdfzEE526vZpgjDMN2l,region,MX-DF,Website,visited_with,,,,,,,,,,
2018-06-12T14:15:30.204710Z,dn9jwhm3pDTYwKKnChqU4J,000LdfzEE526vZpgjDMN2l,type,returning,Website,visited_with,,,,,,,,,,
2018-06-12T14:50:34.259520Z,dn9jwhm3pDTYwKKnChqU4J,000LdfzEE526vZpgjDMN2l,reaction,10001,Reactful,triggered,Enterprise Cloud Data Management | Informatica US,www.informatica.com,www.informatica.com,,https:,https://www.informatica.com,/,#fbid=pvmvTBp6le5,,https://www.informatica.com/#fbid=pvmvTBp6le5
2018-06-12T14:39:41.758500Z,dn9jwhm3pDTYwKKnChqU4J,000LdfzEE526vZpgjDMN2l,page,/,Website,visited_with,Enterprise Cloud Data Management | Informatica US,www.informatica.com,www.informatica.com,,https:,https://www.informatica.com,/,#fbid=pvmvTBp6le5,,https://www.informatica.com/#fbid=pvmvTBp6le5
2018-06-12T14:15:30.204710Z,dn9jwhm3pDTYwKKnChqU4J,000LdfzEE526vZpgjDMN2l,goal,4000001,Reactful,visited_with,,,,,,,,,,
2018-06-12T14:39:41.128630Z,dn9jwhm3pDTYwKKnChqU4J,000LdfzEE526vZpgjDMN2l,goal,3030001,Reactful,visited_with,,,,,,,,,,
2018-06-12T14:39:41.128630Z,dn9jwhm3pDTYwKKnChqU4J,000LdfzEE526vZpgjDMN2l,goal,4000001,Reactful,visited_with,,,,,,,,,,
2018-06-12T14:15:30.204710Z,dn9jwhm3pDTYwKKnChqU4J,000LdfzEE526vZpgjDMN2l,reaction,10001,Reactful,visited,,,,,,,,,,
2018-06-12T14:39:41.128630Z,dn9jwhm3pDTYwKKnChqU4J,000LdfzEE526vZpgjDMN2l,type,returning,Website,visited_with,,,,,,,,,,
2018-06-12T14:15:30.204710Z,dn9jwhm3pDTYwKKnChqU4J,000LdfzEE526vZpgjDMN2l,goal,3030001,Reactful,visited_with,,,,,,,,,,
2018-06-12T14:15:30.204710Z,dn9jwhm3pDTYwKKnChqU4J,000LdfzEE526vZpgjDMN2l,region,MX-DF,Website,visited_with,,,,,,,,,,
2018-06-12T14:15:31.242800Z,dn9jwhm3pDTYwKKnChqU4J,000LdfzEE526vZpgjDMN2l,page,/,Website,visited_with,Enterprise Cloud Data Management | Informatica US,www.informatica.com,www.informatica.com,,https:,https://www.informatica.com,/,#fbid=pvmvTBp6le5,,https://www.informatica.com/#fbid=pvmvTBp6le5
2018-06-12T14:50:38.416790Z,dn9jwhm3pDTYwKKnChqU4J,000LdfzEE526vZpgjDMN2l,reaction,10001,Reactful,closed,Enterprise Cloud Data Management | Informatica US,www.informatica.com,www.informatica.com,,https:,https://www.informatica.com,/,#fbid=pvmvTBp6le5,,https://www.informatica.com/#fbid=pvmvTBp6le5
2018-06-12T14:15:30.204710Z,dn9jwhm3pDTYwKKnChqU4J,000LdfzEE526vZpgjDMN2l,device,desktop,Website,visited_with,,,,,,,,,,
2018-06-12T14:15:30.204710Z,dn9jwhm3pDTYwKKnChqU4J,000LdfzEE526vZpgjDMN2l,goal,9010001,Reactful,visited_with,,,,,,,,,,
2018-06-12T14:39:41.128630Z,dn9jwhm3pDTYwKKnChqU4J,000LdfzEE526vZpgjDMN2l,reaction,10001,Reactful,visited,,,,,,,,,,
2018-06-12T14:15:30.204710Z,dn9jwhm3pDTYwKKnChqU4J,000LdfzEE526vZpgjDMN2l,country,MX,Website,visited_with,,,,,,,,,,
2018-07-08T01:58:49.412370Z,ivOvqywtEDgQpuAtiuo71X,000Thjrd2D4Xj4AZ1iixFO,goal,4000001,Reactful,visited_with,,,,,,,,,,
2018-07-08T01:58:50.596320Z,ivOvqywtEDgQpuAtiuo71X,000Thjrd2D4Xj4AZ1iixFO,page,/potential-at-work/crowdsourced-data-can-you-trust-it.html,Website,visited_with,Crowdsourced data: Can you trust it? | Informatica US,www.informatica.com,www.informatica.com,,https:,https://www.informatica.com,/potential-at-work/crowdsourced-data-can-you-trust-it.html,#fbid=G71BmE2AUSn,,https://www.informatica.com/potential-at-work/crowdsourced-data-can-you-trust-it.html#fbid=G71BmE2AUSn
2018-07-08T01:58:49.412370Z,ivOvqywtEDgQpuAtiuo71X,000Thjrd2D4Xj4AZ1iixFO,goal,6020001,Reactful,visited_with,,,,,,,,,,
2018-07-08T01:58:49.412370Z,ivOvqywtEDgQpuAtiuo71X,000Thjrd2D4Xj4AZ1iixFO,country,PH,Website,visited_with,,,,,,,,,,
2018-07-08T01:58:49.412370Z,ivOvqywtEDgQpuAtiuo71X,000Thjrd2D4Xj4AZ1iixFO,goal,3030001,Reactful,visited_with,,,,,,,,,,
2018-07-08T01:58:49.412370Z,ivOvqywtEDgQpuAtiuo71X,000Thjrd2D4Xj4AZ1iixFO,goal,9010001,Reactful,visited_with,,,,,,,,,,
